Brand,2G,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,Display Type,Display Size,PPI,Body Ratio,OS,Battery Capacity,Price,CPU,Ratio,Pixel,WLAN,Colors,Sensors,Bluetooth,GPU,LoudSpeaker,3.5mm Jack,Chipset,Network,Card Slot,RAM,Storage
Asus,True,True,True,True,2021.0,Available,238.0,172.8,77.3,9.9,AMOLED,6.78,395.0,,Android,6000.0,2200.0,Octa-core (1x2.99 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),,395.0,Wifi,Matte White,,5.2,Adreno 660,True,True,Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),GSM / HSPA / LTE / 5G,True,18GB,512GB
Asus,True,True,True,True,2021.0,Available,238.0,172.8,77.3,9.9,AMOLED,6.78,395.0,,Android,6000.0,1133.0,Octa-core (1x2.99 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),,395.0,Wifi,"Phantom Black, Storm White",,5.2,Adreno 660,True,True,Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),GSM / HSPA / LTE / 5G,True,8GB,128GB
Asus,True,True,True,True,2021.0,Available,210.0,173.2,77.3,9.6,Super AMOLED,6.78,395.0,,Android,4000.0,1397.0,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),,395.0,Wifi,Midnight blue,Illuminated Snapdragon fireball icon on the back,5.2,Adreno 660,True,True,Qualcomm SM8350 Snapdragon 888 5G (5 nm),GSM / HSPA / LTE / 5G,True,16GB,512GB
Asus,True,True,True,True,2021.0,Available,230.0,165.0,77.3,9.6,Super AMOLED,6.67,395.0,20:9,Android,5000.0,418.00000000000006,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),20:9,395.0,Wifi,"Galactic Black, Glacier Silver",,5.2,Adreno 660,True,True,Qualcomm SM8350 Snapdragon 888 5G (5 nm),GSM / HSPA / LTE / 5G,True,8GB,128GB
Asus,True,True,True,True,2021.0,Available,169.0,148.0,68.5,8.9,Super AMOLED,5.9,446.0,20:9,Android,4000.0,349.99,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),20:9,446.0,Wifi,"Obsidian Black, Horizon Silver",,5.2,Adreno 660,True,True,Qualcomm SM8350 Snapdragon 888 5G (5 nm),GSM / HSPA / LTE / 5G,True,6GB,128GB
Asus,True,True,True,True,2021.0,Available,238.0,172.8,77.3,10.3,AMOLED,6.78,395.0,,Android,6000.0,1430.0000000000002,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),,395.0,Wifi,Matte White,,5.2,Adreno 660,True,True,Qualcomm SM8350 Snapdragon 888 5G (5 nm),GSM / HSPA / LTE / 5G,True,18GB,512GB
Asus,True,True,True,True,2021.0,Available,238.0,172.8,77.3,10.3,AMOLED,6.78,395.0,,Android,6000.0,748.0000000000001,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),,395.0,Wifi,Glossy Black,,5.2,Adreno 660,True,True,Qualcomm SM8350 Snapdragon 888 5G (5 nm),GSM / HSPA / LTE / 5G,True,16GB,512GB
Asus,True,True,True,True,2021.0,Available,238.0,172.8,77.3,10.3,AMOLED,6.78,395.0,,Android,6000.0,589.0,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),,395.0,Wifi,"Phantom Black, Storm White",,5.2,Adreno 660,True,True,Qualcomm SM8350 Snapdragon 888 5G (5 nm),GSM / HSPA / LTE / 5G,True,8GB,128GB
Asus,True,True,True,True,2020.0,Available,230.0,165.1,77.3,9.6,Super AMOLED,6.67,395.0,20:9,Android,5000.0,737.0000000000001,Octa-core (1x3.10 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),20:9,395.0,Wifi,"Aurora Black, Pastel White",,5.0,Adreno 650,True,True,Qualcomm SM8250 Snapdragon 865 5G+ (7 nm+),GSM / HSPA / LTE / 5G,True,8GB,256GB
Asus,True,True,True,True,2020.0,Available,230.0,165.1,77.3,9.6,Super AMOLED,6.67,395.0,20:9,Android,5000.0,1001.0000000000001,Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),20:9,395.0,Wifi,"Aurora Black, Pastel White",,5.0,Adreno 650,True,True,Qualcomm SM8250 Snapdragon 865 5G (7 nm+),GSM / HSPA / LTE / 5G,True,6GB,128GB
Asus,True,True,True,True,2020.0,Available,240.0,171.0,78.0,9.9,AMOLED,6.59,391.0,5:9,Android,6000.0,715.0000000000001,Octa-core (1x3.10 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),5:9,391.0,Wifi,Black Glare,,5.1,Adreno 650,True,True,Qualcomm SM8250 Snapdragon 865 5G+ (7 nm+),GSM / CDMA / HSPA / LTE / 5G,True,8GB,128GB
Asus,True,True,True,True,2020.0,Available,240.0,171.0,78.0,9.9,AMOLED,6.59,391.0,5:9,Android,6000.0,1540.0000000000002,Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),5:9,391.0,Wifi,Black Glare,,5.1,Adreno 650,True,True,Qualcomm SM8250 Snapdragon 865 5G (7 nm+),GSM / CDMA / HSPA / LTE / 5G,True,8GB,128GB
Asus,True,True,True,False,2019.0,Available,240.0,171.0,77.6,9.5,AMOLED,6.59,391.0,5:9,Android,6000.0,1177.0,Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),5:9,391.0,Wifi,"Matte Black, Glossy Black",,5.0,Adreno 640 (700 MHz),True,True,Qualcomm SM8150 Snapdragon 855+ (7 nm),GSM / HSPA / LTE,True,8GB,128GB
Asus,True,True,True,False,2019.0,Available,190.0,159.1,75.4,9.2,IPS LCD,6.4,403.0,5:9,Android,5000.0,550.0,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),5:9,403.0,Wifi,"Midnight Black, Twilight Silver",,5.0,Adreno 640,True,True,Qualcomm SM8150 Snapdragon 855 (7 nm),GSM / HSPA / LTE,True,6GB,64GB
Asus,True,True,True,False,2019.0,Available,140.0,147.3,71.8,8.2,IPS LCD,5.5,293.0,18:9,Android,3000.0,,Quad-core 1.4 GHz Cortex-A53Octa-core 1.4 GHz Cortex-A53,18:9,293.0,Wifi,"Rocket Red, Cosmic Blue",,4.0,Adreno 308Adreno 505,True,True,Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm),GSM / HSPA / LTE,True,2GB,16GB
Asus,True,True,True,False,2019.0,Available,165.0,159.2,76.2,8.4,S-IPS LCD,6.26,398.0,7:9,Android,4000.0,220.00000000000003,Octa-core 1.8 GHz,7:9,398.0,Wifi,"Red, Silver, Blue, Black",,4.2,Adreno 506,True,True,Qualcomm Snapdragon SiP 1,GSM / HSPA / LTE,True,3GB,32GB
Asus,True,True,True,False,2019.0,Available,165.0,159.2,76.2,8.4,S-IPS LCD,6.26,398.0,7:9,Android,4000.0,341.0,Octa-core 1.8 GHz,7:9,398.0,Wifi,"Red, Silver, Blue, Black",,4.2,Adreno 506,True,True,Qualcomm Snapdragon SiP 1,GSM / HSPA / LTE,True,3GB,32GB
Asus,True,True,True,False,2018.0,Available,175.0,157.9,75.5,8.5,IPS LCD,6.26,403.0,19:9,Android,5000.0,407.00000000000006,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),19:9,403.0,Wifi,"Blue, Titanium",,5.0,Adreno 512,True,True,Qualcomm SDM660 Snapdragon 660 (14 nm),GSM / HSPA / LTE,True,3GB,32GB
Asus,True,True,True,False,2018.0,Available,160.0,158.4,76.3,7.7,IPS LCD,6.26,269.0,19:9,Android,4000.0,,Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),19:9,269.0,Wifi,"Black, Blue",,4.2,Adreno 506,True,True,Qualcomm SDM632 Snapdragon 632 (14 nm),GSM / HSPA / LTE,True,3GB,32GB
Asus,True,True,True,False,2018.0,Available,150.0,147.3,70.9,8.7,IPS LCD,5.45,247.0,16:10,Android,4000.0,132.0,Octa-core 1.4 GHz Cortex-A53,16:10,247.0,Wifi,"Deepsea Black, Sunlight Gold",Photo/video editor,4.0,Adreno 505,True,True,Qualcomm MSM8937 Snapdragon 430 (28 nm),GSM / HSPA / LTE,True,3GB,32GB
Asus,True,True,True,False,2018.0,Available,140.0,147.3,71.8,8.2,IPS LCD,5.45,295.0,18:9,Android,3000.0,88.0,Octa-core 1.4 GHz Cortex-A53,18:9,295.0,Wifi,"Black, Gold",,4.0,Adreno 505,True,True,Qualcomm MSM8937 Snapdragon 430 (28 nm),GSM / HSPA / LTE,True,2GB,16GB
Asus,True,True,True,False,2018.0,Available,200.0,158.8,76.2,8.3,AMOLED,6.0,402.0,18:9,Android,4000.0,1221.0,Octa-core (4x2.96 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),18:9,402.0,Wifi,Black,,5.0,Adreno 630,True,True,Qualcomm SDM845 Snapdragon 845 (10 nm),GSM / CDMA / HSPA / LTE,True,8GB,128GB
Asus,True,True,True,False,2018.0,Available,140.0,147.3,71.8,8.2,IPS LCD,5.5,293.0,18:9,Android,3000.0,110.00000000000001,Quad-core 1.4 GHz Cortex-A53,18:9,293.0,Wifi,"Space Blue, Rose Pink, Shimmer Gold, Midnight Black",,4.0,Adreno 308,True,True,Qualcomm MSM8917 Snapdragon 425 (28 nm),GSM / HSPA / LTE,True,1GB,16GB
Asus,True,True,True,False,2018.0,Available,180.0,159.0,76.0,8.5,IPS LCD,5.99,404.0,18:9,Android,5000.0,176.0,Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),18:9,404.0,Wifi,"Meteor Silver, Deepsea Black",,5.0,Adreno 509,True,True,Qualcomm SDM636 Snapdragon 636 (14 nm),GSM / HSPA / LTE,True,3GB,32GB
Asus,True,True,True,False,2018.0,Available,165.0,153.0,75.7,7.9,IPS LCD,6.2,402.0,7:9,Android,3300.0,550.0,Octa-core (4x2.7 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),7:9,402.0,Wifi,"Midnight Blue, Meteor Silver",,5.0,Adreno 630,True,True,Qualcomm SDM845 Snapdragon 845 (10 nm),GSM / CDMA / HSPA / LTE,True,4GB,64GB
